idx,songname,writer,Songname
282,雪花,中u美嘉,XH
283,贝多芬12首小步舞曲 (no.7),贝多芬,BDF12SXBWQ__no_7_
284,stanley博士的家2背景音乐,动漫影视,StanleyBSDJ2BJYL
285,女校男生,Twins,NXNS
286,砒霜（电视剧金枝欲孽插曲）,林保怡,PS_DSJJZYNCQ_
287,爱我别走（好声音3，鸠玖弹唱伴奏版）,李琪 张震岳,AWBZ_HSY3__JDCBZB_
288,《高雅》源氏物语千年纪OST,S.E.N.S,GY_YSWYQNJOST
289,久违的感觉,快乐小天使,JWDGJ
290,从窗口看到的风景,Yiruma,CCKKDDFJ
291,I'll be fine,Stevie Hoang,I_ll_be_fine
292,melodies of life,最终幻想,Melodies_of_life
293,爱的礼赞（D调版）,爱德华.艾尔加,ADLZ_DDB_
294,ture love,maysecond,Ture_love
295,aqua（坂本龙一）,坂本龙一,Aqua__BLY_
296,《快乐的蜘蛛王子》DNF,meiqiao520,KLDZZWZ_DNF
297,AKB48 - ポニ.テ.ルとシュシュ（马尾与发圈）华丽独奏版,AKB48,AKB48_______________MWYFQ_HLDZB
298,痛爱,容祖儿,TA
299,义海豪情,古巨基,YHHQ
300,外国儿童歌曲钢琴曲集111首（032闪烁的星星）,未知,WGETGQGQQJ111S_032SSDXX_
301,Summer,Vester,Summer
302,巴赫《三部创意曲》之三,巴赫,BH_SBCYQ_ZS
303,玉满堂（复刻）,仙剑奇侠传,YMT_FK_
304,热带的夜晚,未知,RDDYW
305,c大调圆舞曲,leeyang521,CDDYWQ
306,贝多芬12首小步舞曲 (no.1),贝多芬 ,BDF12SXBWQ__no_1_
307,《仁医》主题曲,影视,RY_ZTQ
308,[Touhou project] 简易东方前奏小串,东方project,Touhou_project__JYDFQZXC
309,动画片《橙路》原声钢琴曲Missing,动漫影视,DHP_CL_YSGQQMissing
310,温柔的爱,世界名曲,WRDA
311,离夜流韵——念故乡,ellocz,LYLY__NGX
312,Cinema Paradiso Theme,影视,Cinema_Paradiso_Theme
313,狂蜂飞舞-齐少凡版,拉赫马尼若夫,KFFW_QSFB
314,[R音Rin]反氯化苯（纷锵迪疵歌）,初音未来,RYRin_FLHB_F_DCG_
315,坏人,方炯镔,HR
316,为了谁,中国名曲,WLS
317,送别,黑键,SB
318,晓之车自编变奏版,Gundam Seed,XZCZBBZB
319,凰A （遥仰凰华）,遥仰凰华,HA__YYHH_
320,因为爱,#NAME?,YWA
321,Crystal Ball 水晶球,班得瑞-Bandari,Crystal_Ball_SJQ
322,肖邦离别（三手联弹）,肖邦,XBLB_SSLD_
323,一分钟圆舞曲,颠覆音乐,YFZYWQ
324,卡门序曲,世界名曲,KMXQ
325,时光机（选自2008年专辑《魔杰座》）,周杰伦,SGJ_XZ2008NZJ_MJZ__
326,留给最爱的说话（钢琴版，张柏芝）,张柏芝,LGZADSH_GQB_ZBZ_
327,少女さとり ～3rd eye ,动漫影视,SN_____3rd_eye_
328,李白 李荣浩  ,李荣浩,LB_LRH__
329,爱的罗曼史,叶佩斯,ADLMS
330,拜厄 草地的知更鸟,拜厄,BE_CDDZGN
331,Shining Boy And Little Randy (<星星少年>主题曲，坂本龙一),坂本龙一,Shining_Boy_And_Little_Randy___XXSN_ZTQ__BLY_
332,最高的片想,动漫影视,ZGDPX
333,《圣斗士星矢》冥王篇天琴座奥路菲..弦乐夜曲,圣斗士星矢,SDSXS__WPTQZALF__XLYQ
334,只为你,冬季恋歌,ZWN
335,Taxi,东方神起,Taxi
336,婚礼场面舞-欧阳阳制谱版,世界名曲,HLCMW_OYYZPB
337,载着你,久石让,ZZN
338,等待（汉武大帝，片尾曲）,韩磊,DD_HWDD_PWQ_
339,天黑黑,孙燕姿,THH
340,太阳与花,理查德.克莱德曼,TYYH
341,爱的回忆,byxdm,ADHY
342,孩子们的哈农琴谱完整版（基本练习3、4、5指）,未知,HZMDHNQPWZB_JBLX3_4_5Z_
343,[key社] Rewrite  op （完整版）,动漫影视,KeyS__Rewrite__op__WZB_
344,双鱼座(钢琴),游戏,SYZ_GQ_
345,城南旧事-组曲（林海《城南旧事》）,林海,CNJS_ZQ_LH_CNJS__
346,悲伤的欢乐女神,笋干,BSDHLNS
347,四川省社会艺术水平考级八级乐曲曲目-莫扎特 d小调幻想曲 K397,莫扎特,SCSSHYSSPKJBJLQQM_MZT_dXDHXQ_K397
348,杀手-弹唱版,林俊杰,SS_DCB
349,孩子的请求（Schumann.舒曼 童年情景 Op15 No4）,Schumann.舒曼,HZDQQ_Schumann_SM_TNQJ_Op15_No4_
350,《原来爱情这么伤》精制版（雨田),梁咏琪,YLAQZMS_JZB_YT_
351,夜的钢琴曲二（春雾，石进）,石进,YDGQQE_CW_SJ_
352,卡农●初学版,帕赫贝尔-Pachelbel,KN_CXB
353,约翰.汤普森简易钢琴教程2（小汤2）_01上学的日子,约翰.汤普森,YH_TPSJYGQJC2_XT2__01SXDRZ
354,三寸天堂（鸠玖版）,严艺丹,SCTT__JB_
355,费加罗的婚礼序曲 钢琴版 K.492（Mozart.莫扎特）,Mozart.莫扎特,FJLDHLXQ_GQB_K_492_Mozart_MZT_
356,说好的幸福呢-(简单版),周杰伦,SHDXFN__JDB_
357,两只老虎（无伴奏版）,未知,LZLH_WBZB_
358,冬之韵-文武贝,文武贝,DZY_WWB
359,海贼王插曲,动漫影视,HZWCQ
360,水边的阿蒂丽娜-带指法,塞内维尔,SBDADLN_DZF
361,《黄河船夫曲》钢琴独奏完整版,殷承宗,HHCFQ_GQDZWZB
362,升c小调夜曲,肖邦-chopin,ScXDYQ
363,Les Fleurs Sauvages -野花,理查德.克莱德曼,Les_Fleurs_Sauvages__YH
364,水晶前奏曲,最终幻想,SJQZQ
365,命运-第五交响乐,贝多芬-beethoven,MY_DWJXL
366,外国儿童歌曲钢琴曲集111首(040 圣母颂),未知,WGETGQGQQJ111S_040_SMS_
367,音程的性质及音响效果（张伟谱例）,张伟,YCDXZJYXXG_ZWPL_
368,歌唱祖国,杨澈,GCZG
369,京剧瞬间,陈其钢,JJSJ
370,Katy Perry - Firework,Katy Perry,Katy_Perry___Firework
371,桃姐片头曲,叶德娴,TJPTQ
372,Eternal Hope (Original Composition) (不完整版),Original Composition,Eternal_Hope__Original_Composition___BWZB_
373,万花谷花海（升级版，配歌词）,游戏,WHGHH_SJB_PGC_
374,安魂曲,Gicco,AHQ
375,This is our beautiful school,剑桥少儿英语,This_is_our_beautiful_school
376,瑶族舞曲,中国名曲,YZWQ
377,Cinema Paradiso,未知分类,Cinema_Paradiso
378,天使小夜曲（钢琴版）,游戏,TSXYQ_GQB_
379,风居住过的街道,矶村由纪子,FJZGDJD
380,莎莉花园（修改版）,PHIL COULTER,SLHY_XGB_
381,化物语ED..你所不知道的故事,Animenz,HWYED__NSBZDDGS
382,一笑中抒情版（武林外史插曲）,高正洋,YXZSQB_WLWSCQ_
383,临安初雨（水浒Q传OP）,游戏,LACY_S_QCOP_
384,言叶之庭（言の.の庭）插曲 - A Silent Summer,柏大.,YYZT_Y___T_CQ___A_Silent_Summer
385,暧昧-弹唱版,侯湘婷,M_DCB
386,巨大少女（初音）,初音未来,JDSN_CY_
387,功夫,游戏,GF
388,雪绒花,世界名曲,XRH
389,历史的天空-《三国演义》片尾曲伴奏,影视,LSDTK__SGYY_PWQBZ
390,味道,赵鹏,WD
391,二泉映月（钢伴版）,华彦钧,EQYY_GBB_
392,Amazing Grace,未知分类,Amazing_Grace
393,[魔卡少女樱]《友情（友ヘ）》完整弹唱版,魔卡少女樱,MKSNY__YQ_Y___WZDCB
394,Piano Melody,Kevin Kern,Piano_Melody
395,叛逆的鲁鲁修InnocentDays Hitomi（改）,叛逆的鲁鲁修,PNDLLXInnocentDays_Hitomi_G_
396,紫日,zhoucong009,ZR
397,【东方project】灵知の太阳信仰～nuclear fusion,东方project,DFproject_LZ_TYXY_nuclear_fusion
398,上帝与你同在,影视,SDYNTZ
399,忧伤（Tender Grieving，布格缪勒钢琴进阶25曲作品100第16首）,布格缪勒,YS_Tender_Grieving_BG_LGQJJ25QZP100D16S_
400,故乡香,钟汉良,GXX
401,风筝,薄书艺,F_
402,匿名的好友最简版,Hai...,NMDHYZJB
403,感情の摩天楼（东方星莲船）,东方project,GQ_MTL_DFXLC_
